工号,姓名,性别,民族,部门,学历,出生日期,职称,工资,年龄
1,黄建强,男,汉,财务,大学,1968/12/10,高级工程师,3100,54 
3,司马项,男,汉,财务,大学,1970/10/10,高级工程师,4200,52 
4,黄平,男,汉,财务,大专,1978/3/10,工程师,4000,44 
5,贾申平,男,汉,财务,大专,1986/6/10,工程师,3800,36 
6,司马娟,男,汉,财务,大专,1958/8/10,经济师,1800,64 
7,涂泳虞,男,汉,财务,大专,1974/12/10,助理工程师,4100,48 
8,俞志强,男,汉,财务,大专,1978/3/10,政工师,4600,44 
9,殷豫群,男,汉,财务,初中,1970/12/10,其他,4600,52 
10,肖琪,男,汉,财务,大专,1987/7/10,工程师,3800,35 
11,苏武,女,汉,财务,大专,1987/7/10,助理工程师,1000,35 
12,张悦群,女,汉,财务,初中,1974/3/10,其他,1300,48 
13,李巧,男,汉,财务,大专,1996/4/10,技术员,4500,26 
14,鲁帆,男,汉,财务,初中,1970/8/10,其他,4300,52 
15,章式,男,汉,财务,大专,1987/7/10,助理工程师,3800,35 
16,王晓,男,汉,财务,初中,1970/12/10,其他,4600,52 
17,王海强,男,汉,销售,大专,1978/12/10,助理工程师,4600,44 
18,刘刚,女,汉,销售,大专,1988/8/10,助理会计师,2500,34 
19,张严,男,汉,销售,初中,1965/10/12,助理经济师,4300,57 
20,魏寒,男,汉,销售,初中,1968/11/10,助理会计师,3800,54 
21,吴妍,男,汉,销售,大专,1987/7/10,助理工程师,4500,35 
22,刘思云,男,汉,销售,大专,1987/10/10,工程师,4700,35 
23,周韵,男,汉,销售,大专,1981/10/10,技术员,6500,41 
24,薛利恒,男,汉,销售,大学,1983/8/10,助理政工师,3210,39 
25,杜晋,女,汉,销售,大学,1983/7/10,高级工程师,3680,39 
26,张倩,女,汉,销售,中专,1974/1/10,工程师,2568,48 
27,萧山,男,汉,销售,中专,1965/12/10,工程师,4560,57 
28,詹仕通,男,汉,销售,大专,1980/11/10,经济师,1230,42 
29,刘汉安,男,汉,销售,高中,1978/2/10,政工师,2130,44 
30,刘会民,男,汉,销售,中专,1970/10/10,政工师,4560,52 
31,伊然,女,汉,销售,大专,1969/1/10,工程师,3789,53 
32,司徒春,男,汉,销售,大专,1987/7/10,助理经济师,5789,35 
33,黎辉,女,汉,销售,高中,1977/12/10,助理经济师,1587,45 
34,李爱晶,男,汉,销售,大专,1981/9/10,助理经济师,5830,41 
35,肖童童,女,汉,销售,大专,1971/1/10,政工师,5468,51 
36,钟幻,男,汉,销售,高中,1973/3/10,工程师,4780,49 
37,戴威,男,汉,销售,大专,1978/10/10,经济师,2050,44 
38,刘惠,男,汉,销售,中专,1974/3/10,助理经济师,3560,48 
39,魏珍,男,汉,销售,大专,1982/7/10,助理会计师,3450,40 
40,黄丝,男,汉,销售,高中,1973/3/10,助理经济师,3120,49 
41,尹清,男,汉,行政,中专,1973/3/10,助理经济师,4521,49 
42,沈群文,男,汉,行政,大学,1987/7/10,工程师,2450,35 
43,高伊,男,汉,行政,大学,1968/3/10,工程师,1350,54 
44,潘跃巧,男,汉,行政,大学,1989/8/10,工程师,6408,33 
45,叶惠,男,汉,行政,大专,1987/5/10,工程师,2015,35 
46,张月刚,男,汉,行政,大专, ,工程师,2019,#VALUE!
47,章中承,男,汉,行政,大学,1986/7/10,助理工程师,2508,36 
48,魏晓,女,汉,行政,大学,1985/12/10,助理工程师,3250,37 
49,张了了,男,汉,行政,中专,1973/3/10,工程师,1559,49 
50,候跃飞,男,汉,行政,大专,1968/10/15,工程师,4520,54 
51,章均,女,汉,行政,大专,1975/8/10,工程师,6520,47 
